NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
141	199.891	50.183	52.64	45.368	0.24	0.84	20000.0
142	182.639	47.93	48.739	44.283	0.24	0.845	20000.0
143	191.296	45.582	49.339	40.766	0.216	0.868	20000.0
144	199.12	51.867	53.006	49.209	0.265	0.811	20000.0
145	202.046	52.015	51.88	45.899	0.274	0.832	20000.0
146	191.011	46.834	48.756	41.569	0.235	0.867	20000.0
147	189.014	47.646	49.446	43.928	0.23	0.851	20000.0
148	184.811	49.842	48.025	45.524	0.258	0.832	20000.0
149	185.927	51.07	50.303	49.941	0.274	0.804	20000.0
150	181.24	48.428	47.364	45.964	0.247	0.834	20000.0
151	188.628	46.836	50.097	44.14	0.233	0.843	20000.0
152	188.172	52.287	48.356	49.136	0.273	0.8	20000.0
153	183.383	44.956	49.309	42.303	0.212	0.864	20000.0
154	191.242	47.088	49.944	42.663	0.22	0.856	30000.0
155	187.795	50.549	49.104	47.144	0.274	0.822	20000.0
156	194.092	50.539	54.766	49.855	0.264	0.803	20000.0
157	200.203	49.563	49.971	44.519	0.24	0.838	20000.0
158	194.305	49.608	51.475	45.525	0.245	0.836	20000.0
159	196.078	52.073	51.934	49.731	0.281	0.8	20000.0
160	192.627	49.231	51.098	46.168	0.249	0.838	20000.0
161	195.576	47.352	49.758	43.253	0.223	0.851	20000.0
162	181.853	49.468	47.059	46.39	0.264	0.826	20000.0
163	191.451	51.651	49.421	48.464	0.265	0.808	20000.0
164	190.595	50.969	48.518	48.32	0.265	0.807	20000.0
165	190.036	48.622	51.632	45.656	0.24	0.841	20000.0
166	190.495	50.526	50.2	47.528	0.253	0.822	20000.0
167	192.545	47.817	52.303	44.016	0.23	0.853	20000.0
168	176.793	46.797	47.149	44.702	0.244	0.844	20000.0
169	198.967	48.761	51.402	44.219	0.222	0.851	20000.0
170	203.302	48.237	52.353	43.875	0.23	0.846	20000.0
171	207.208	49.824	52.365	44.681	0.247	0.837	20000.0
172	190.811	46.024	48.629	41.359	0.207	0.868	20000.0
173	188.19	51.009	48.138	46.694	0.275	0.82	20000.0
174	190.135	47.121	48.81	43.406	0.231	0.849	20000.0
175	190.086	50.568	49.097	48.009	0.256	0.808	20000.0
176	209.322	57.627	55.485	53.674	0.323	0.747	20000.0
177	198.574	47.6	50.49	42.83	0.217	0.856	30000.0
178	199.256	49.686	52.185	45.239	0.252	0.84	20000.0
179	196.686	50.487	51.829	47.458	0.251	0.823	20000.0
180	206.253	57.786	51.408	51.433	0.32	0.758	20000.0
181	201.66	49.977	51.773	45.126	0.245	0.837	20000.0
182	188.573	46.333	48.887	41.942	0.224	0.863	20000.0
183	188.603	47.637	49.595	43.134	0.236	0.851	20000.0
184	188.012	49.338	52.064	46.872	0.249	0.828	20000.0
185	204.5	48.214	52.551	43.378	0.22	0.855	20000.0
186	198.18	49.205	51.937	43.863	0.234	0.851	20000.0
187	188.074	49.881	49.738	47.701	0.262	0.815	20000.0
188	197.923	49.047	49.464	43.446	0.243	0.848	20000.0
189	190.25	49.933	50.109	48.686	0.253	0.809	20000.0
190	204.379	54.652	54.359	51.222	0.292	0.764	20000.0
191	190.189	47.245	49.898	42.995	0.218	0.856	20000.0
192	184.736	46.941	48.165	42.96	0.231	0.851	20000.0
193	196.237	48.922	52.871	46.276	0.242	0.832	20000.0
194	192.68	50.384	51.105	48.255	0.257	0.817	20000.0
195	190.549	48.417	50.604	44.661	0.235	0.846	30000.0
196	193.409	50.604	51.724	48.332	0.268	0.817	20000.0
197	184.867	49.514	50.365	49.098	0.259	0.806	20000.0
198	191.221	49.298	51.048	47.121	0.254	0.817	20000.0
199	188.899	51.087	50.512	49.079	0.274	0.802	20000.0
