# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-G9-6385-01A-11D-1785-01	-0.100000	0.100000
TCGA-KC-A4BO-01A-61D-A256-01	-0.100000	0.100000
TCGA-J4-A6M7-01A-11D-A31K-01	-0.100000	0.100000
TCGA-J4-A67M-01A-11D-A30D-01	-0.480000	0.374000
TCGA-J9-A8CN-01A-11D-A34T-01	-0.974000	1.375000
TCGA-J4-A67N-01A-11D-A30D-01	-0.861000	0.100000
TCGA-ZG-A8QW-01A-11D-A376-01	-0.449000	0.100000
TCGA-ZG-A9L4-01A-11D-A41J-01	-0.448000	0.100000
TCGA-XJ-A9DQ-01A-11D-A376-01	-0.266000	0.100000
TCGA-EJ-8472-01A-11D-2391-01	-0.810000	0.679000
TCGA-YL-A8HK-01A-11D-A363-01	-0.496000	0.100000
TCGA-ZG-A8QX-01A-11D-A376-01	-0.100000	0.224000
TCGA-VN-A88Q-01A-11D-A34T-01	-0.696000	0.681000
TCGA-HC-7080-01A-11D-1959-01	-0.780000	0.100000
TCGA-J4-A67R-01A-21D-A30D-01	-0.100000	0.100000
TCGA-HC-A6AS-01A-11D-A30D-01	-0.100000	0.210000
TCGA-EJ-5524-01A-01D-1574-01	-0.642000	0.100000
TCGA-G9-6333-01A-12D-1959-01	-0.519000	0.276000
TCGA-CH-5765-01A-11D-1574-01	-0.837000	0.100000
TCGA-KK-A8I9-01A-11D-A363-01	-0.575000	0.241000
TCGA-KK-A8I6-01A-11D-A363-01	-0.755000	0.435000
TCGA-ZG-A9L9-01A-11D-A41J-01	-0.853000	2.149000
TCGA-EJ-8468-01A-21D-2391-01	-0.644000	0.624000
TCGA-V1-A9OA-01A-11D-A41J-01	-0.709000	0.767000
TCGA-V1-A9Z7-01A-11D-A41J-01	-0.696000	0.710000
TCGA-HC-8265-01A-11D-2259-01	-0.100000	0.309000
TCGA-H9-7775-01A-11D-2112-01	-0.860000	0.100000
TCGA-G9-6338-01A-12D-1959-01	-0.777000	0.585000
TCGA-G9-7525-01A-31D-2259-01	-0.100000	0.731000
TCGA-KK-A6E0-01A-11D-A30W-01	-0.673000	0.100000
TCGA-G9-6367-01A-11D-1785-01	-0.100000	0.100000
TCGA-EJ-A8FP-01A-21D-A363-01	-0.100000	0.100000
TCGA-CH-5767-01A-11D-1785-01	-0.939000	0.100000
TCGA-HC-7077-01A-11D-1959-01	-1.029000	0.100000
TCGA-TP-A8TV-01A-11D-A41J-01	-1.057000	0.452000
