NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
109	89.16	24.341	22.647	21.627	0.072	0.96	20000.0
110	88.736	22.948	24.442	21.632	0.064	0.963	20000.0
111	91.021	25.503	24.892	23.735	0.084	0.954	20000.0
112	91.226	24.488	24.192	21.785	0.076	0.963	20000.0
113	89.045	25.311	22.139	22.033	0.084	0.959	20000.0
114	99.922	27.42	26.719	25.035	0.087	0.95	20000.0
115	92.041	26.106	22.749	22.667	0.082	0.957	20000.0
116	85.613	25.088	22.656	23.309	0.083	0.951	20000.0
117	99.536	25.573	27.447	23.346	0.076	0.96	20000.0
118	98.742	25.728	25.747	23.335	0.084	0.959	20000.0
119	86.023	25.14	21.659	21.794	0.08	0.96	30000.0
120	93.352	25.279	25.904	23.852	0.077	0.954	20000.0
121	103.97	27.407	26.467	24.0	0.084	0.956	30000.0
122	96.594	26.423	24.5	24.212	0.085	0.949	30000.0
123	104.095	27.56	27.465	24.926	0.093	0.953	20000.0
124	90.75	24.004	24.181	21.819	0.07	0.964	20000.0
125	96.163	26.537	24.312	23.349	0.083	0.957	20000.0
126	93.12	24.88	23.66	22.171	0.081	0.96	20000.0
127	96.445	25.374	25.092	23.108	0.077	0.958	30000.0
128	99.941	26.591	27.174	24.11	0.088	0.956	20000.0
129	93.051	25.136	23.376	21.632	0.081	0.963	20000.0
130	89.22	25.448	22.472	22.409	0.084	0.954	20000.0
131	97.016	26.339	26.623	24.624	0.084	0.951	20000.0
132	85.061	23.025	21.26	20.084	0.067	0.966	20000.0
133	106.075	26.386	27.021	24.008	0.082	0.957	20000.0
134	89.195	24.772	21.725	20.944	0.071	0.963	20000.0
135	96.131	25.43	23.389	21.989	0.075	0.959	30000.0
136	90.959	23.841	24.276	21.909	0.073	0.962	20000.0
137	95.56	25.817	26.91	25.146	0.081	0.949	20000.0
138	96.717	26.72	23.318	23.911	0.087	0.948	20000.0
139	101.742	27.82	28.14	25.806	0.093	0.949	20000.0
140	98.718	25.705	24.976	22.207	0.08	0.962	20000.0
141	97.086	27.106	25.431	24.083	0.088	0.954	20000.0
142	93.789	24.637	22.107	21.344	0.078	0.962	20000.0
143	99.488	27.325	27.586	24.916	0.084	0.952	20000.0
144	94.191	26.203	25.463	23.974	0.086	0.955	20000.0
145	89.318	24.547	23.271	22.233	0.079	0.961	20000.0
146	95.594	26.607	24.566	22.989	0.081	0.958	20000.0
147	88.225	23.367	22.308	20.283	0.075	0.968	20000.0
148	97.208	26.855	26.668	24.983	0.084	0.95	20000.0
149	100.91	26.852	24.892	23.207	0.086	0.957	20000.0
150	96.264	24.983	25.515	22.923	0.081	0.959	20000.0
151	88.111	23.478	23.035	20.711	0.072	0.967	20000.0
152	92.548	25.692	24.125	23.25	0.081	0.957	30000.0
153	94.189	26.891	24.911	24.674	0.088	0.95	20000.0
154	98.337	27.262	25.388	23.829	0.085	0.955	20000.0
155	96.818	26.81	25.392	24.831	0.083	0.948	20000.0
156	88.027	25.083	22.746	21.964	0.077	0.96	20000.0
157	87.631	23.432	22.514	20.694	0.075	0.966	20000.0
158	95.228	25.904	24.902	24.094	0.084	0.95	20000.0
159	98.974	24.981	26.4	23.042	0.071	0.959	20000.0
160	90.822	23.752	21.883	20.035	0.072	0.968	20000.0
161	110.79	28.731	29.356	25.35	0.094	0.953	20000.0
162	94.931	23.77	24.216	21.151	0.071	0.965	20000.0
163	100.826	26.747	25.846	23.649	0.086	0.956	20000.0
164	109.202	26.705	28.071	23.848	0.08	0.959	20000.0
165	102.987	27.722	28.347	25.743	0.093	0.949	20000.0
166	97.205	25.37	26.02	23.068	0.08	0.96	20000.0
167	103.687	27.643	27.353	25.562	0.083	0.946	40000.0
168	94.587	25.356	26.187	23.223	0.076	0.959	20000.0
169	87.226	24.298	23.869	22.334	0.072	0.959	20000.0
170	92.782	24.323	24.668	22.098	0.069	0.964	20000.0
171	106.955	27.596	27.799	24.954	0.085	0.954	20000.0
172	87.081	23.449	22.441	21.041	0.071	0.964	20000.0
173	86.821	23.242	22.183	20.475	0.069	0.968	20000.0
174	86.381	24.068	22.033	21.317	0.075	0.961	20000.0
175	98.863	27.53	24.73	24.052	0.089	0.951	20000.0
176	89.655	23.662	21.778	20.267	0.073	0.968	20000.0
177	95.696	25.173	25.052	21.931	0.077	0.966	20000.0
178	90.026	23.192	22.613	20.229	0.072	0.969	20000.0
179	86.865	22.936	21.791	19.859	0.074	0.969	20000.0
180	99.578	25.145	26.203	22.523	0.071	0.963	20000.0
181	96.241	25.022	23.514	21.264	0.078	0.966	20000.0
182	91.444	25.078	22.207	21.676	0.078	0.96	20000.0
183	88.674	23.79	22.47	21.085	0.082	0.964	20000.0
184	94.92	25.836	24.541	24.099	0.08	0.95	20000.0
185	101.812	26.184	26.018	23.971	0.079	0.954	20000.0
186	98.027	27.3	24.717	24.064	0.096	0.953	20000.0
187	89.16	24.844	23.522	23.662	0.078	0.952	20000.0
188	88.907	23.199	23.136	20.796	0.07	0.967	20000.0
189	104.16	28.422	25.786	25.268	0.096	0.944	20000.0
190	101.995	25.849	28.881	25.761	0.076	0.95	20000.0
191	97.161	23.814	25.409	21.999	0.069	0.963	20000.0
192	110.383	28.431	29.887	25.662	0.093	0.953	20000.0
193	96.636	23.6	24.319	21.169	0.071	0.968	30000.0
194	94.981	26.384	23.578	23.62	0.082	0.952	30000.0
195	98.681	25.72	26.653	23.889	0.084	0.956	20000.0
196	101.618	25.762	27.396	23.042	0.081	0.963	20000.0
197	91.362	24.97	23.776	22.727	0.083	0.956	20000.0
198	100.223	26.656	25.889	23.616	0.087	0.958	20000.0
199	91.655	25.714	24.432	24.046	0.08	0.95	20000.0
200	99.951	26.575	26.308	24.071	0.085	0.955	20000.0
201	94.667	26.2	25.071	24.153	0.087	0.952	20000.0
202	95.87	24.839	25.63	22.578	0.079	0.963	20000.0
203	90.914	23.74	23.36	21.207	0.069	0.964	20000.0
204	97.617	24.996	26.318	22.623	0.08	0.964	20000.0
205	98.051	25.396	26.28	23.336	0.085	0.957	30000.0
206	104.407	27.871	26.491	23.914	0.092	0.955	20000.0
207	95.645	25.128	24.357	21.881	0.078	0.963	30000.0
208	91.14	24.579	25.255	23.378	0.072	0.957	20000.0
209	94.802	24.164	24.049	21.247	0.069	0.966	20000.0
210	105.86	26.854	27.018	24.38	0.084	0.954	20000.0
211	96.07	26.152	24.122	22.992	0.084	0.957	30000.0
212	106.244	29.274	28.059	26.035	0.096	0.945	20000.0
213	99.471	28.759	26.394	25.682	0.1	0.946	20000.0
214	94.664	25.506	24.231	22.988	0.087	0.955	20000.0
215	96.776	25.345	24.47	22.269	0.079	0.962	30000.0
216	103.852	26.683	27.883	23.947	0.087	0.958	20000.0
217	98.51	26.738	25.037	24.19	0.081	0.951	20000.0
218	95.517	25.025	24.709	22.432	0.084	0.961	20000.0
219	89.94	24.21	22.884	21.97	0.079	0.96	20000.0
220	83.175	22.507	20.888	20.007	0.07	0.969	20000.0
221	117.002	29.221	31.582	26.167	0.093	0.953	30000.0
222	96.235	24.717	25.038	22.116	0.076	0.964	30000.0
223	93.056	25.676	24.534	23.601	0.076	0.954	20000.0
224	97.584	25.367	25.113	23.065	0.082	0.957	20000.0
225	105.807	27.625	28.728	25.145	0.09	0.953	20000.0
226	87.055	23.957	21.474	21.183	0.069	0.962	20000.0
227	94.144	24.926	22.395	21.902	0.085	0.959	20000.0
228	97.984	26.352	24.753	23.245	0.082	0.956	20000.0
229	102.553	28.695	26.141	25.163	0.086	0.948	20000.0
230	97.64	26.771	24.074	23.248	0.08	0.957	20000.0
231	94.139	26.515	26.667	24.691	0.089	0.952	20000.0
232	92.368	25.736	22.267	22.102	0.077	0.959	20000.0
233	89.643	24.938	25.252	23.342	0.076	0.956	20000.0
234	105.182	28.385	27.039	24.433	0.093	0.955	20000.0
235	93.417	25.9	24.012	22.841	0.089	0.956	30000.0
236	103.786	28.149	27.771	26.389	0.092	0.941	20000.0
237	103.344	27.005	25.715	23.913	0.086	0.955	20000.0
238	98.22	27.198	25.796	23.713	0.095	0.954	20000.0
239	95.875	25.634	24.239	22.615	0.088	0.961	20000.0
240	104.44	27.046	28.284	26.151	0.079	0.945	20000.0
241	86.355	21.57	22.574	19.302	0.063	0.972	20000.0
242	93.643	25.868	24.232	23.337	0.082	0.954	20000.0
243	90.256	24.768	22.787	22.577	0.082	0.957	20000.0
244	92.717	26.667	23.742	23.463	0.087	0.955	20000.0
245	92.777	23.584	23.431	21.044	0.076	0.964	20000.0
246	90.493	25.441	23.068	23.455	0.079	0.951	20000.0
247	96.121	24.873	24.906	22.848	0.079	0.96	20000.0
248	96.337	25.313	24.119	22.063	0.084	0.963	20000.0
249	91.37	25.15	23.537	22.43	0.083	0.958	20000.0
250	101.835	26.193	27.763	23.815	0.082	0.96	20000.0
251	99.206	28.304	25.448	25.63	0.091	0.94	20000.0
252	104.387	27.741	26.357	25.0	0.088	0.949	20000.0
253	104.119	26.381	28.969	23.876	0.082	0.959	20000.0
254	91.663	24.921	22.825	21.61	0.083	0.963	20000.0
255	93.22	24.78	22.93	21.314	0.068	0.963	20000.0
256	94.248	24.49	25.474	22.949	0.073	0.959	20000.0
257	99.681	28.789	25.048	25.093	0.091	0.946	20000.0
258	97.426	26.245	25.984	23.36	0.079	0.959	20000.0
259	94.21	27.022	23.139	23.501	0.095	0.95	20000.0
260	96.085	26.141	24.324	22.72	0.086	0.959	20000.0
261	92.522	24.756	24.543	22.081	0.08	0.963	20000.0
262	98.691	26.997	27.971	25.654	0.082	0.951	20000.0
263	94.209	24.689	23.767	21.826	0.075	0.962	20000.0
264	97.441	26.14	25.844	23.44	0.078	0.958	20000.0
265	90.172	24.534	21.655	20.58	0.079	0.966	20000.0
266	89.767	24.92	23.253	22.562	0.077	0.958	20000.0
267	101.388	25.472	29.149	23.955	0.077	0.959	20000.0
268	95.788	24.843	24.99	22.889	0.075	0.959	20000.0
269	95.279	27.169	23.938	23.547	0.092	0.951	20000.0
270	79.135	21.469	18.431	18.058	0.063	0.972	20000.0
271	103.405	27.991	27.214	25.298	0.094	0.948	20000.0
272	106.338	26.691	27.156	22.718	0.085	0.964	20000.0
273	84.457	23.2	21.077	19.899	0.072	0.968	20000.0
274	89.996	24.224	21.711	21.419	0.076	0.962	20000.0
275	94.372	24.985	24.212	22.78	0.079	0.957	20000.0
276	91.025	25.039	24.038	22.928	0.08	0.955	20000.0
277	93.013	24.204	25.515	22.166	0.078	0.961	20000.0
278	101.772	26.232	24.865	23.161	0.087	0.959	20000.0
279	92.983	24.993	23.958	22.761	0.078	0.959	20000.0
280	96.192	25.72	24.261	22.471	0.078	0.96	20000.0
281	101.044	27.73	26.363	24.198	0.09	0.953	20000.0
282	101.374	26.219	26.364	23.652	0.079	0.957	20000.0
283	98.949	25.606	25.34	23.035	0.08	0.96	20000.0
284	94.469	25.83	24.542	23.109	0.087	0.957	20000.0
285	97.245	25.804	28.311	24.185	0.087	0.96	20000.0
286	97.419	26.834	24.12	23.417	0.082	0.954	20000.0
287	92.95	24.996	24.632	22.595	0.078	0.96	20000.0
288	87.107	23.14	22.883	21.87	0.077	0.961	20000.0
289	86.665	21.869	22.603	20.126	0.065	0.968	20000.0
290	102.23	27.104	25.724	23.936	0.081	0.954	20000.0
291	93.863	24.286	23.622	20.431	0.074	0.971	20000.0
292	92.606	26.838	23.3	23.363	0.095	0.954	20000.0
293	91.067	25.714	21.449	21.801	0.082	0.957	20000.0
294	94.79	23.755	26.096	21.814	0.085	0.966	30000.0
295	111.07	28.272	29.783	25.666	0.086	0.954	20000.0
296	88.324	23.191	22.454	19.735	0.073	0.97	30000.0
297	101.108	26.637	26.216	23.868	0.086	0.956	20000.0
298	93.907	25.872	25.015	24.263	0.089	0.95	20000.0
299	101.698	28.484	28.012	25.601	0.095	0.951	20000.0
300	97.74	26.551	24.79	23.797	0.084	0.956	30000.0
301	100.074	27.135	24.81	24.07	0.081	0.951	20000.0
302	96.85	25.932	25.352	23.83	0.081	0.956	20000.0
303	98.73	25.101	24.341	21.767	0.087	0.965	20000.0
304	99.02	26.827	25.89	24.428	0.088	0.951	20000.0
305	97.917	25.659	25.494	23.25	0.078	0.958	20000.0
306	89.65	23.328	23.715	20.832	0.071	0.969	20000.0
307	89.426	23.377	22.346	19.852	0.078	0.97	30000.0
