Sample Names	MutationTypes	CNV48A	CNV48B
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	5-8:het:>40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	9+:het:0-100kb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	9+:het:100kb-1Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	9+:het:1Mb-10Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	9+:het:10Mb-40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	9+:het:>40Mb	1.0	0.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	0:homdel:0-100kb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	0:homdel:100kb-1Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	0:homdel:>1Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	1:LOH:0-100kb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	1:LOH:100kb-1Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	1:LOH:1Mb-10Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	1:LOH:10Mb-40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	1:LOH:>40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	2:LOH:0-100kb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	2:LOH:100kb-1Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	2:LOH:1Mb-10Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	2:LOH:10Mb-40Mb	0.0	1.0
